NUM_PLAYERS,ROUND_NUM,CLASS,,NP / RN,NP / MAX_S,E > F,TEST,PROB,NUM_TABLES,NUM_MAX_TABLES,NUM_MIN_TABLES,MAX_SEATS_PER_TABLE,MIN_SEATS_PER_TABLE
4,4,ALL_CONVERGED,TRUE,1,1,FALSE,FALSE,1,1,1,0,4,3
4,5,ALL_CONVERGED,TRUE,0.8,1,FALSE,FALSE,1,1,1,0,4,3
7,2,NONE_CONVERGED,FALSE,3.5,1.75,TRUE,FALSE,0,2,1,1,4,3
7,3,NONE_CONVERGED,FALSE,2.33333333333333,1.75,TRUE,FALSE,0,2,1,1,4,3
10,2,NONE_CONVERGED,FALSE,5,2.5,TRUE,FALSE,0,3,1,2,4,3
10,3,NONE_CONVERGED,FALSE,3.33333333333333,2.5,TRUE,FALSE,0,3,1,2,4,3
11,2,NONE_CONVERGED,FALSE,5.5,2.75,TRUE,FALSE,0,3,2,1,4,3
11,3,NONE_CONVERGED,FALSE,3.66666666666667,2.75,TRUE,FALSE,0,3,2,1,4,3
14,3,NONE_CONVERGED,FALSE,4.66666666666667,3.5,TRUE,FALSE,0,4,2,2,4,3
15,3,NONE_CONVERGED,FALSE,5,3.75,TRUE,FALSE,0,4,3,1,4,3
4,2,ALL_CONVERGED,TRUE,2,1,TRUE,TRUE,1,1,1,0,4,3
4,3,ALL_CONVERGED,TRUE,1.33333333333333,1,TRUE,TRUE,1,1,1,0,4,3
6,6,NONE_CONVERGED,FALSE,1,1.5,FALSE,TRUE,0,2,0,2,4,3
7,4,NONE_CONVERGED,FALSE,1.75,1.75,FALSE,TRUE,0,2,1,1,4,3
7,5,NONE_CONVERGED,FALSE,1.4,1.75,FALSE,TRUE,0,2,1,1,4,3
7,6,NONE_CONVERGED,FALSE,1.16666666666667,1.75,FALSE,TRUE,0,2,1,1,4,3
8,2,ALL_CONVERGED,TRUE,4,2,TRUE,TRUE,1,2,2,0,4,3
8,3,ALL_CONVERGED,TRUE,2.66666666666667,2,TRUE,TRUE,1,2,2,0,4,3
9,2,ALL_CONVERGED,TRUE,4.5,2.25,TRUE,TRUE,1,3,0,3,4,3
10,4,NONE_CONVERGED,FALSE,2.5,2.5,FALSE,TRUE,0,3,1,2,4,3
10,5,NONE_CONVERGED,FALSE,2,2.5,FALSE,TRUE,0,3,1,2,4,3
10,6,NONE_CONVERGED,FALSE,1.66666666666667,2.5,FALSE,TRUE,0,3,1,2,4,3
11,4,NONE_CONVERGED,FALSE,2.75,2.75,FALSE,TRUE,0,3,2,1,4,3
11,5,NONE_CONVERGED,FALSE,2.2,2.75,FALSE,TRUE,0,3,2,1,4,3
11,6,NONE_CONVERGED,FALSE,1.83333333333333,2.75,FALSE,TRUE,0,3,2,1,4,3
12,4,NONE_CONVERGED,FALSE,3,3,FALSE,TRUE,0,3,3,0,4,3
12,5,NONE_CONVERGED,FALSE,2.4,3,FALSE,TRUE,0,3,3,0,4,3
12,6,NONE_CONVERGED,FALSE,2,3,FALSE,TRUE,0,3,3,0,4,3
13,4,NONE_CONVERGED,FALSE,3.25,3.25,FALSE,TRUE,0,4,1,3,4,3
13,5,NONE_CONVERGED,FALSE,2.6,3.25,FALSE,TRUE,0,4,1,3,4,3
