ROUND_NUM,NUM_PLAYERS,AVG_META_PCT_NONE,AVG_META_PCT_FAIR,AVG_META_PCT_PERFECT,AVG_SCORE,AVG_GOOD_SEAT_PCT
1,6,0,0,1,0,1
2,6,1,0,0,5.76,0.33333
3,6,1,0,0,5.12489,0.64634
4,6,0.20732,0.79268,0,5.00926,0.86992
5,6,0.67073,0.32927,0,8.04149,0.61179
6,6,0.96341,0.03659,0,6.48879,0.39634
7,6,1,0,0,6.32893,0.49187
8,6,0.68293,0.31707,0,5.79703,0.62195
1,7,0,0,1,0,1
2,7,1,0,0,6.05975,0.14286
3,7,1,0,0,6.18838,0.25435
4,7,1,0,0,8.33621,0.26132
5,7,1,0,0,7.91423,0.18119
6,7,1,0,0,8.32405,0.22125
7,7,1,0,0,8.58936,0.223
8,7,1,0,0,8.79239,0.20209
1,8,0,0,1,0,1
2,8,0,1,0,6.35951,1
3,8,0.02439,0.97561,0,6.40482,0.99695
4,8,0.64634,0.35366,0,8.02773,0.53049
5,8,0.64634,0.35366,0,8.71101,0.58079
6,8,0.81707,0.18293,0,8.94995,0.45122
7,8,0.92683,0.07317,0,8.86598,0.43293
8,8,0.89024,0.10976,0,9.40785,0.50152
1,9,0,0,1,0,1
2,9,0.14634,0,0.85366,0.67171,0.98374
3,9,0.91463,0,0.08537,2.32761,0.58266
4,9,0.96341,0.03659,0,4.22118,0.29946
5,9,0.85366,0.14634,0,4.36264,0.39431
6,9,0.91463,0.08537,0,4.26556,0.38482
7,9,0.95122,0.04878,0,4.60655,0.28997
8,9,0.97561,0.02439,0,4.83547,0.29404
1,10,0,0,1,0,1
2,10,1,0,0,1.58988,0.8
3,10,1,0,0,2.66002,0.54634
4,10,1,0,0,5.84287,0.22439
5,10,1,0,0,6.40493,0.13293
6,10,1,0,0,6.41466,0.12073
7,10,1,0,0,6.70668,0.11951
8,10,1,0,0,6.9096,0.10732
1,11,0,0,1,0,1
2,11,1,0,0,3.17975,0.63636
3,11,1,0,0,3.68007,0.36807
4,11,1,0,0,6.92644,0.13969
5,11,1,0,0,6.83956,0.13082
6,11,1,0,0,7.09219,0.11974
7,11,1,0,0,7.48044,0.11419
8,11,1,0,0,7.47362,0.11641
1,12,0,0,1,0,1
2,12,1,0,0,4.76963,0.5
3,12,1,0,0,5.04606,0.20833
4,12,1,0,0,7.11368,0.14227
5,12,1,0,0,7.30488,0.13313
6,12,1,0,0,7.66045,0.16057
7,12,1,0,0,7.70808,0.13618
8,12,1,0,0,8.16862,0.11687
1,13,0,0,1,0,1
2,13,0.10976,0,0.89024,0.1745,0.98311
3,13,0.96341,0,0.03659,1.54237,0.77861
4,13,1,0,0,4.36618,0.4531
5,13,1,0,0,5.50329,0.20263
6,13,1,0,0,6.06301,0.11445
7,13,1,0,0,5.93667,0.10882
8,13,1,0,0,6.28848,0.09381
1,14,0,0,1,0,1
2,14,0.03659,0,0.96341,0.05817,0.99477
3,14,0.96341,0,0.03659,1.52431,0.76829
4,14,1,0,0,5.46464,0.38589
5,14,1,0,0,6.27423,0.18728
6,14,1,0,0,6.74175,0.09669
7,14,1,0,0,7.03799,0.08711
8,14,1,0,0,7.10502,0.08188
1,15,0,0,1,0,1
2,15,0.0122,0,0.9878,0.01939,0.99837
3,15,0.95122,0,0.04878,1.71571,0.71789
