ROUND_NUM,NUM_PLAYERS,AVG_META_PCT_NONE,AVG_META_PCT_FAIR,AVG_META_PCT_PERFECT,AVG_SCORE,AVG_GOOD_SEAT_PCT
1,6,0,0,1,0,1
1,6,0,0,1,0,1
1,6,0,0,1,0,1
1,6,0,0,1,0,1
2,6,1,0,0,5.76,0.33333
2,6,1,0,0,5.76,0.33333
2,6,1,0,0,5.76,0.33333
2,6,1,0,0,5.76,0.33333
3,6,1,0,0,5.17927,0.63462
3,6,1,0,0,5.03063,0.66667
3,6,1,0,0,5.03063,0.66667
3,6,1,0,0,5.03063,0.66667
4,6,0.19231,0.80769,0,4.88712,0.88462
4,6,0.1,0.9,0,4.80383,0.93333
4,6,0.3,0.7,0,4.87222,0.8
4,6,0.3,0.7,0,5.98689,0.8
5,6,0.65385,0.34615,0,8.43258,0.63461
5,6,0.8,0.2,0,7.83276,0.5
5,6,0.8,0.2,0,7.10314,0.51667
5,6,0.5,0.5,0,7.15493,0.7
6,6,0.96154,0.03846,0,6.5155,0.39103
6,6,1,0,0,6.53853,0.43333
6,6,1,0,0,6.16856,0.38333
6,6,0.9,0.1,0,6.62036,0.4
7,6,1,0,0,6.37505,0.51923
7,6,1,0,0,6.65704,0.4
7,6,1,0,0,6.09747,0.48333
7,6,1,0,0,5.99245,0.45
8,6,0.65385,0.34615,0,5.76326,0.67949
8,6,0.7,0.3,0,6.16427,0.55
8,6,0.8,0.2,0,5.76289,0.46666
8,6,0.7,0.3,0,5.63951,0.55
1,7,0,0,1,0,1
1,7,0,0,1,0,1
1,7,0,0,1,0,1
1,7,0,0,1,0,1
2,7,1,0,0,6.05975,0.14286
2,7,1,0,0,6.05975,0.14286
2,7,1,0,0,6.05975,0.14286
2,7,1,0,0,6.05975,0.14286
3,7,1,0,0,6.13395,0.24725
3,7,1,0,0,6.10645,0.28571
3,7,1,0,0,6.34084,0.25714
3,7,1,0,0,6.4009,0.25714
4,7,1,0,0,8.44705,0.27473
4,7,1,0,0,8.45357,0.22857
4,7,1,0,0,7.92397,0.22857
4,7,1,0,0,8.05472,0.25714
5,7,1,0,0,7.88253,0.18681
5,7,1,0,0,7.96163,0.15714
5,7,1,0,0,7.97579,0.17143
5,7,1,0,0,7.97013,0.18571
6,7,1,0,0,8.3182,0.23077
6,7,1,0,0,8.32612,0.22857
6,7,1,0,0,8.51485,0.2
6,7,1,0,0,8.16159,0.18571
7,7,1,0,0,8.66834,0.21978
7,7,1,0,0,8.16674,0.3
7,7,1,0,0,8.70565,0.18572
7,7,1,0,0,8.48499,0.2
8,7,1,0,0,8.72783,0.2033
8,7,1,0,0,9.09938,0.21429
8,7,1,0,0,9.2658,0.2
8,7,1,0,0,8.34774,0.18572
1,8,0,0,1,0,1
1,8,0,0,1,0,1
1,8,0,0,1,0,1
1,8,0,0,1,0,1
2,8,0,1,0,6.35951,1
2,8,0,1,0,6.35951,1
2,8,0,1,0,6.35951,1
2,8,0,1,0,6.35951,1
3,8,0.03846,0.96154,0,6.43096,0.99519
3,8,0,1,0,6.35951,1
3,8,0,1,0,6.35951,1
3,8,0,1,0,6.35951,1
4,8,0.69231,0.30769,0,8.06497,0.49519
4,8,0.6,0.4,0,7.46884,0.6
4,8,0.3,0.7,0,8.62789,0.775
4,8,0.8,0.2,0,7.7928,0.4
5,8,0.57692,0.42308,0,8.82615,0.63942
5,8,0.9,0.1,0,8.14277,0.35
5,8,0.8,0.2,0,7.91526,0.525
5,8,0.6,0.4,0,9.47625,0.5625
6,8,0.80769,0.19231,0,8.59332,0.44231
6,8,0.9,0.1,0,9.02979,0.525
6,8,0.8,0.2,0,10.10894,0.5375
6,8,0.8,0.2,0,9.56566,0.3375
7,8,0.92308,0.07692,0,8.82172,0.46635
7,8,0.8,0.2,0,9.08899,0.4875
7,8,1,0,0,8.88983,0.4
7,8,1,0,0,8.84927,0.2375
8,8,0.92308,0.07692,0,9.2196,0.52404
8,8,0.9,0.1,0,9.56598,0.3625
8,8,0.7,0.3,0,9.55041,0.6125
8,8,0.9,0.1,0,10.08605,0.4125
1,9,0,0,1,0,1
1,9,0,0,1,0,1
1,9,0,0,1,0,1
1,9,0,0,1,0,1
2,9,0.15385,0,0.84615,0.70615,0.98291
2,9,0.1,0,0.9,0.459,0.98889
2,9,0.2,0,0.8,0.918,0.97778
2,9,0.1,0,0.9,0.459,0.98889
3,9,0.96154,0,0.03846,2.51171,0.55983
3,9,0.8,0,0.2,1.64944,0.67778
3,9,0.9,0,0.1,2.6191,0.53334
3,9,0.8,0,0.2,1.75697,0.65556
4,9,1,0,0,4.16732,0.25213
4,9,0.9,0.1,0,3.97771,0.42222
4,9,0.9,0.1,0,4.3241,0.33333
4,9,0.9,0.1,0,4.64179,0.38889
5,9,0.88462,0.11538,0,4.36619,0.35043
5,9,0.9,0.1,0,4.79992,0.41111
5,9,0.8,0.2,0,3.73584,0.47778
5,9,0.7,0.3,0,4.53371,0.52222
6,9,0.92308,0.07692,0,4.25532,0.42308
6,9,0.8,0.2,0,3.81535,0.52222
6,9,0.9,0.1,0,4.46201,0.24444
6,9,1,0,0,4.57255,0.18889
7,9,0.96154,0.03846,0,4.63774,0.26068
7,9,0.9,0.1,0,4.7932,0.33333
7,9,1,0,0,4.4437,0.31111
7,9,0.9,0.1,0,4.42054,0.37778
8,9,0.96154,0.03846,0,4.95206,0.31624
8,9,1,0,0,4.35668,0.25555
8,9,1,0,0,4.93591,0.27778
8,9,1,0,0,4.60758,0.23333
1,10,0,0,1,0,1
1,10,0,0,1,0,1
1,10,0,0,1,0,1
1,10,0,0,1,0,1
2,10,1,0,0,1.58988,0.8
2,10,1,0,0,1.58988,0.8
2,10,1,0,0,1.58988,0.8
2,10,1,0,0,1.58988,0.8
3,10,1,0,0,2.71514,0.55
3,10,1,0,0,2.50802,0.5
3,10,1,0,0,2.8089,0.52
3,10,1,0,0,2.37655,0.6
4,10,1,0,0,5.7911,0.22692
4,10,1,0,0,6.13315,0.2
4,10,1,0,0,5.92809,0.24
4,10,1,0,0,5.73655,0.22
5,10,1,0,0,6.42007,0.13077
5,10,1,0,0,6.36509,0.11
5,10,1,0,0,6.22263,0.16
5,10,1,0,0,6.54839,0.14
6,10,1,0,0,6.3971,0.12308
6,10,1,0,0,6.61606,0.1
6,10,1,0,0,6.39295,0.12
6,10,1,0,0,6.32631,0.13
7,10,1,0,0,6.69498,0.12308
7,10,1,0,0,6.84112,0.12
7,10,1,0,0,6.66183,0.1
7,10,1,0,0,6.67792,0.12
8,10,1,0,0,7.0386,0.10385
8,10,1,0,0,6.87964,0.11
8,10,1,0,0,6.72899,0.13
8,10,1,0,0,6.4494,0.1
1,11,0,0,1,0,1
1,11,0,0,1,0,1
1,11,0,0,1,0,1
1,11,0,0,1,0,1
2,11,1,0,0,3.17975,0.63636
2,11,1,0,0,3.17975,0.63636
2,11,1,0,0,3.17975,0.63636
2,11,1,0,0,3.17975,0.63636
3,11,1,0,0,3.78714,0.36714
3,11,1,0,0,3.41206,0.38182
3,11,1,0,0,3.86843,0.31818
3,11,1,0,0,3.20293,0.40909
4,11,1,0,0,7.04467,0.12937
4,11,1,0,0,6.83457,0.14546
4,11,1,0,0,7.0214,0.14546
4,11,1,0,0,6.30848,0.18182
5,11,1,0,0,6.85711,0.13986
5,11,1,0,0,6.73706,0.11818
5,11,1,0,0,6.90086,0.10909
5,11,1,0,0,6.78948,0.11818
6,11,1,0,0,7.08032,0.11888
6,11,1,0,0,6.72384,0.10909
6,11,1,0,0,7.10752,0.13637
6,11,1,0,0,7.5069,0.11818
7,11,1,0,0,7.32343,0.11189
7,11,1,0,0,8.05977,0.11818
7,11,1,0,0,7.54188,0.10909
7,11,1,0,0,7.6561,0.12727
8,11,1,0,0,7.54319,0.11888
8,11,1,0,0,7.32955,0.11818
8,11,1,0,0,7.16852,0.12727
8,11,1,0,0,7.56105,0.09091
1,12,0,0,1,0,1
1,12,0,0,1,0,1
1,12,0,0,1,0,1
1,12,0,0,1,0,1
2,12,1,0,0,4.76963,0.5
2,12,1,0,0,4.76963,0.5
2,12,1,0,0,4.76963,0.5
2,12,1,0,0,4.76963,0.5
3,12,1,0,0,5.12341,0.22436
3,12,1,0,0,5.21549,0.18333
3,12,1,0,0,4.75514,0.175
3,12,1,0,0,4.76533,0.18333
4,12,1,0,0,7.18845,0.15384
4,12,1,0,0,6.90913,0.11667
4,12,1,0,0,7.17363,0.14167
4,12,1,0,0,6.86947,0.10833
5,12,1,0,0,7.37688,0.1282
5,12,1,0,0,7.46614,0.18333
5,12,1,0,0,7.44095,0.1
5,12,1,0,0,6.63311,0.14167
6,12,1,0,0,7.52334,0.17628
6,12,1,0,0,7.55934,0.15833
6,12,1,0,0,7.97744,0.13333
6,12,1,0,0,8.15758,0.10833
7,12,1,0,0,7.60069,0.15064
7,12,1,0,0,7.82779,0.10833
7,12,1,0,0,7.92602,0.11667
7,12,1,0,0,7.9289,0.10833
8,12,1,0,0,8.22153,0.11218
8,12,1,0,0,8.06242,0.10833
8,12,1,0,0,8.43762,0.125
8,12,1,0,0,7.73069,0.14167
1,13,0,0,1,0,1
1,13,0,0,1,0,1
1,13,0,0,1,0,1
1,13,0,0,1,0,1
2,13,0.11538,0,0.88462,0.18345,0.98225
2,13,0.1,0,0.9,0.15899,0.98462
2,13,0.2,0,0.8,0.31798,0.96923
2,13,0,0,1,0,1
3,13,1,0,0,1.4798,0.78698
3,13,1,0,0,2.25003,0.71538
3,13,0.9,0,0.1,1.31027,0.79231
3,13,0.8,0,0.2,1.39215,0.78461
4,13,1,0,0,4.17994,0.47633
4,13,1,0,0,4.26747,0.43846
4,13,1,0,0,5.00464,0.38462
4,13,1,0,0,4.79485,0.41539
5,13,1,0,0,5.56516,0.19231
5,13,1,0,0,5.22905,0.21538
5,13,1,0,0,5.41212,0.18462
5,13,1,0,0,5.54697,0.26154
6,13,1,0,0,6.08075,0.10651
6,13,1,0,0,6.13505,0.11538
6,13,1,0,0,5.91733,0.15384
6,13,1,0,0,6.0444,0.11538
7,13,1,0,0,6.01247,0.10355
7,13,1,0,0,5.45664,0.13077
7,13,1,0,0,6.02537,0.11538
7,13,1,0,0,5.93383,0.10769
8,13,1,0,0,6.30809,0.09171
8,13,1,0,0,6.25592,0.1
8,13,1,0,0,6.14676,0.11538
8,13,1,0,0,6.36082,0.07692
1,14,0,0,1,0,1
1,14,0,0,1,0,1
1,14,0,0,1,0,1
1,14,0,0,1,0,1
2,14,0.03846,0,0.96154,0.06115,0.99451
2,14,0.1,0,0.9,0.15899,0.98571
2,14,0,0,1,0,1
2,14,0,0,1,0,1
3,14,0.96154,0,0.03846,1.53066,0.76648
3,14,1,0,0,1.36282,0.79285
3,14,1,0,0,1.56571,0.73572
3,14,0.9,0,0.1,1.61138,0.78571
4,14,1,0,0,5.62188,0.36538
4,14,1,0,0,4.52957,0.48572
4,14,1,0,0,5.4581,0.37857
4,14,1,0,0,5.58859,0.4
5,14,1,0,0,6.4319,0.16758
5,14,1,0,0,6.70822,0.17143
5,14,1,0,0,4.9087,0.30714
5,14,1,0,0,6.38588,0.18571
6,14,1,0,0,6.96128,0.09066
6,14,1,0,0,6.30108,0.10714
6,14,1,0,0,6.40299,0.11429
6,14,1,0,0,6.37962,0.1
7,14,1,0,0,7.24209,0.08242
7,14,1,0,0,6.47426,0.10714
7,14,1,0,0,6.82897,0.09286
7,14,1,0,0,6.74943,0.08572
8,14,1,0,0,7.03867,0.08242
8,14,1,0,0,7.44734,0.09286
8,14,1,0,0,7.07293,0.07857
8,14,1,0,0,7.13978,0.07143
1,15,0,0,1,0,1
1,15,0,0,1,0,1
1,15,0,0,1,0,1
1,15,0,0,1,0,1
2,15,0,0,1,0,1
2,15,0,0,1,0,1
2,15,0,0,1,0,1
2,15,0.1,0,0.9,0.15899,0.98667
3,15,0.92308,0,0.07692,1.63452,0.73077
3,15,1,0,0,1.82926,0.67333
3,15,1,0,0,1.63504,0.73334
3,15,1,0,0,2.10501,0.68
4,15,1,0,0,6.39569,0.25128
4,15,1,0,0,5.6038,0.33333
4,15,1,0,0,6.86287,0.22667
4,15,1,0,0,5.91372,0.27333
5,15,1,0,0,7.01103,0.15385
5,15,1,0,0,6.8571,0.12667
5,15,1,0,0,6.93893,0.13333
5,15,1,0,0,7.52657,0.16667
6,15,1,0,0,7.34631,0.10769
6,15,1,0,0,7.21158,0.08
6,15,1,0,0,7.04359,0.1
6,15,1,0,0,7.18435,0.07334
7,15,1,0,0,7.39113,0.09487
7,15,1,0,0,7.59047,0.09333
7,15,1,0,0,7.45069,0.08
7,15,1,0,0,7.31743,0.09334
8,15,1,0,0,7.22718,0.08462
8,15,1,0,0,7.39051,0.09334
8,15,1,0,0,7.76601,0.11334
